customerID,Genero,Idoso,Casado,Dependents,Tempo_como_Cliente,ServicoTelefone,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,MetodoPagamento,Pagamento_Mensal,Total_Pago,Churn
7590-VHVEG,Female,No,Yes,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,29.85,29.85,No
5575-GNVDE,Male,No,No,No,34,Yes,DSL,Yes,No,No,One year,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,No,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,No,No,No,45,No,DSL,Yes,Yes,No,One year,Bank transfer (automatic),70.55,1840.75,No
8191-XWSZG,F,No,No,No,52,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,70.55,1022.95,No
9959-WOFKT,Male,No,No,Yes,71,Yes,FIBER OPTIC,Yes,No,Yes,Two year,Bank transfer (automatic),70.55,7382.25,No
4190-MFLUW,F,No,Yes,Yes,10,Yes,DSL,No,Yes,No,Month-to-month,Credit card (automatic),70.55,528.35,Yes
4183-MYFRB,F,No,No,No,21,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,1862.9,No
8779-QRDMV,Male,Yes,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,70.55,39.65,Yes
1680-VDCWW,Male,No,Yes,No,12,Yes,NO,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),70.55,202.25,No
1066-JKSGK,Male,No,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,20.15,Yes
3638-WEABW,Female,No,Yes,No,58,Yes,DSL,No,Yes,No,Two year,Credit card (automatic),70.55,3505.1,No
6322-HRPFA,Male,No,Yes,Yes,49,Yes,DSL,Yes,Yes,No,Month-to-month,Credit card (automatic),70.55,2970.3,No
6865-JZNKO,Female,No,No,No,30,Yes,DSL,Yes,No,No,Month-to-month,Bank transfer (automatic),70.55,1530.6,No
6467-CHFZW,M,No,Yes,Yes,47,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,4749.15,Yes
8665-UTDHZ,M,No,Yes,Yes,1,No,DSL,No,No,No,Month-to-month,Electronic check,70.55,30.2,Yes
5248-YGIJN,M,No,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),70.55,6369.45,No
8773-HHUOZ,Female,No,No,Yes,17,Yes,DSL,No,No,Yes,Month-to-month,Mailed check,70.55,1093.1,Yes
3841-NFECX,Female,Yes,Yes,No,71,Yes,FIBER OPTIC,Yes,Yes,No,Two year,Credit card (automatic),70.55,6766.95,No
4929-XIHVW,Male,Yes,Yes,No,2,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Credit card (automatic),70.55,181.65,No
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,DSL,Yes,Yes,No,One year,Mailed check,70.55,1874.45,No
7310-EGVHZ,Male,No,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),70.55,20.2,No
3413-BMNZE,Male,Yes,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),70.55,45.25,No
6234-RAAPL,Female,No,Yes,Yes,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),70.55,7251.7,No
6047-YHPVI,Male,No,No,No,5,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,316.9,Yes
6572-ADKRS,Female,No,No,No,46,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),70.55,3548.3,No
5380-WJKOV,Male,No,No,No,34,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,3549.25,Yes
